product_id,sku,name,description,category,manufacturer,size,color,material,cena_hurtowa,cena_detaliczna,stan,weight,ean,images
130,CS276SB #16,PIERŚCIONEK,"PIERŚCIONEK, CZARNA, GŁADKA CERAMIKA, SREBRO RODOWANE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,16,,,47.00,138.74,3,7.300,,http://www.allsilver.pl/media/towary/big/9b8619251a19057cff70779273e95aa6.jpg
131,CS276SB #18,PIERŚCIONEK,"PIERŚCIONEK, CZARNA, GŁADKA CERAMIKA, SREBRO RODOWANE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,18,,,47.00,138.74,3,7.560,,http://www.allsilver.pl/media/towary/big/1afa34a7f984eeabdbb0a7d494132ee5.jpg
132,CS276SB #14,PIERŚCIONEK,"PIERŚCIONEK, CZARNA, GŁADKA CERAMIKA, SREBRO RODOWANE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,14,,,47.00,138.74,3,7.200,,http://www.allsilver.pl/media/towary/big/65ded5353c5ee48d0b7d48c591b8f430.jpg
133,CS276SB #12,PIERŚCIONEK,"PIERŚCIONEK, CZARNA, GŁADKA CERAMIKA, SREBRO RODOWANE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,12,,,47.00,138.74,3,7.350,,http://www.allsilver.pl/media/towary/big/9fc3d7152ba9336a670e36d0ed79bc43.jpg
138,CS-107B #18,PIERŚCIONEK,"PIERŚCIONEK, CZARNA, GŁADKA CERAMIKA, SREBRO RODOWANE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,18,,,39.00,124.72,3,6.170,,http://www.allsilver.pl/media/towary/big/013d407166ec4fa56eb1e1f8cbe183b9.jpg
141,CS-107B #12,PIERŚCIONEK,"PIERŚCIONEK, CZARNA, GŁADKA CERAMIKA, SREBRO RODOWANE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,12,,,39.00,124.72,3,5.740,,http://www.allsilver.pl/media/towary/big/0f28b5d49b3020afeecd95b4009adf4c.jpg
160,ALCEROW2M #8,OBRĄCZKA,"OBRĄCZKA, BIAŁA GŁADKA CERAMIKA, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,8,,,12.00,45.76,3,1.130,,http://www.allsilver.pl/media/towary/big/b73ce398c39f506af761d2277d853a92.jpg
161,ALCEROW2M #10,OBRĄCZKA,"OBRĄCZKA, BIAŁA GŁADKA CERAMIKA, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,10,,,12.00,45.76,0,1.120,,http://www.allsilver.pl/media/towary/big/bd4c9ab730f5513206b999ec0d90d1fb.jpg
178,ALCEROW2M #14,OBRĄCZKA,"OBRĄCZKA, BIAŁA GŁADKA CERAMIKA, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,14,,,12.00,45.76,0,1.210,,http://www.allsilver.pl/media/towary/big/8f85517967795eeef66c225f7883bdcb.jpg
179,ALCEROW2M #16,OBRĄCZKA,"OBRĄCZKA, BIAŁA GŁADKA CERAMIKA, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,16,,,12.00,45.76,3,1.250,,http://www.allsilver.pl/media/towary/big/8f53295a73878494e9bc8dd6c3c7104f.jpg
180,ALCEROW2M #18,OBRĄCZKA,"OBRĄCZKA, BIAŁA GŁADKA CERAMIKA, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,18,,,12.00,45.76,3,1.330,,http://www.allsilver.pl/media/towary/big/045117b0e0a11a242b9765e79cbf113f.jpg
182,ALCEROW2M #22,OBRĄCZKA,"OBRĄCZKA, BIAŁA GŁADKA CERAMIKA, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,22,,,12.00,45.76,3,1.480,,http://www.allsilver.pl/media/towary/big/4c5bde74a8f110656874902f07378009.jpg
3594,ALCEROW2M #24,OBRĄCZKA,"OBRĄCZKA, BIAŁA GŁADKA CERAMIKA, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,24,,,12.00,45.76,3,1.480,,http://www.allsilver.pl/media/towary/big/dce8af15f064d1accb98887a21029b08.jpg
221,CS-853WR #12,PIERŚCIONEK,"PIERŚCIONEK BIAŁY,CERAMIKA,SREBRO RODOWANE.",Biżuteria/Srebro 925/Pierścionki,AllSilver,12,,,99.00,267.89,3,10.260,,http://www.allsilver.pl/media/towary/big/060ad92489947d410d897474079c1477.jpg
222,CS-853WR #14,PIERŚCIONEK,"PIERŚCIONEK BIAŁY,CERAMIKA,SREBRO RODOWANE.",Biżuteria/Srebro 925/Pierścionki,AllSilver,14,,,99.00,267.89,3,10.460,,http://www.allsilver.pl/media/towary/big/bcbe3365e6ac95ea2c0343a2395834dd.jpg
